movie;year;gross;director_likes;actor_likes;cast_likes;social_media;facenumber;imdb;budget
Morning Glory;2010;30993544;50;468;621;1;0;6.5;40000000
Get Rich or Die Tryin';2005;30981850;260;2441;3969;5;0;5;40000000
Joyful Noise;2012;30920167;650;2488;3389;5;4;5.7;25000000
The Texas Chain Saw Massacre;1974;30859000;365;931;1094;2;0;7.5;15000000
The Texas Chain Saw Massacre;1974;30859000;365;931;1094;2;0;7.5;15000000
The Princess Bride;1987;30857814;0;19230;20060;9;0;8.1;16000000
The Legend of Bagger Vance;2000;30695227;0;32000;34774;10;3;6.7;60000000
Mirrors;2008;30691439;192;2759;3185;5;0;6.2;35000000
3 Days to Kill;2014;30688364;368;1241;1286;2;0;6.2;28000000
Predator 2;1990;30669413;81;3319;4722;6;0;6.2;35000000
Delivery Man;2013;30659817;31;811;1006;1;10;6.4;26000000
Dogma;1999;30651422;0;14769;16693;8;8;7.4;10000000
Superstar;1999;30628981;54;9306;10792;7;1;5;14000000
The Sitter;2011;30538669;234;1829;3850;5;3;5.7;35000000
Deliver Us from Evil;2014;30523568;301;3897;5697;6;0;6.2;30000000
Get on Up;2014;30513940;150;1412;2060;3;0;6.9;30000000
Open Water;2003;30500882;9;65;67;1;1;5.7;500000
Sgt. Bilko;1996;30400000;36;1383;2176;3;2;5.7;39000000
Yentl;1983;30400000;0;721;914;1;1;6.6;12000000
A Night at the Roxbury;1998;30324946;12;8638;9271;7;2;6.2;17000000
Queen of the Damned;2002;30307804;48;1847;3001;4;2;5.2;35000000
The Banger Sisters;2002;30306281;7;1801;1917;3;2;5.6;10000000
Assassins;1995;30306268;503;58282;58528;10;0;6.3;50000000
Halloween: Resurrection;2002;30259652;28;3595;5440;6;5;4.1;15000000
The Great Debaters;2007;30226144;18000;20697;22745;10;1;7.6;15000000
Honey;2003;30222640;23;3582;4868;6;2;5.3;25000000
How Do You Know;2010;30212620;274;646;993;2;4;5.3;120000000
The Art of War;2000;30199105;18;3249;3753;5;0;5.7;40000000
Bad Company;2002;30157016;541;12789;12993;7;2;5.6;70000000
When the Game Stands Tall;2014;30127963;49;326;525;1;0;6.7;15000000
Space Chimps;2008;30105968;16;1449;2268;3;0;4.5;37000000
Double Impact;1991;30102717;23;751;874;1;2;5.5;15000000
Snatch;2000;30093107;0;38000;39175;10;6;8.3;6000000
Snatch;2000;30093107;0;38000;39175;10;6;8.3;6000000
Ghost Ship;2002;30079316;17;997;1083;2;0;5.5;35000000
Dragonfly;2002;30063805;293;1301;2109;3;0;6.1;60000000
Jay and Silent Bob Strike Back;2001;30059386;0;9898;11632;7;5;6.9;22000000
Road House;1989;30050028;9;1561;2484;3;1;6.5;17000000
The Bank Job;2008;30028592;79;27098;27755;9;0;7.3;20000000
Hollywood Homicide;2003;30013346;41;12523;14028;7;2;5.3;75000000
Elizabeth;1998;30012990;159;777;1006;2;1;7.5;25000000
A Nightmare on Elm Street 2: Freddy's Revenge;1985;30000000;28;1002;1472;2;0;5.4;2200000
Hail Caesar!;2016;29997095;1000;37000;38494;10;5;6.4;22000000
Daybreakers;2009;29975979;35;178;189;1;0;6.5;20000000
The Iron Lady;2011;29959436;58;12583;12894;7;1;6.4;13000000
Grudge Match;2013;29802761;88;35785;36009;10;1;6.4;40000000
Riding in Cars with Boys;2001;29781453;545;2537;4796;6;1;6.4;48000000
Wild Things;1998;29753944;39;13735;14275;7;3;6.5;20000000
Mystery Men;1999;29655590;18;2631;3986;5;4;6;65000000
Did You Hear About the Morgans?;2009;29580087;30;2625;3150;5;2;4.7;58000000
Twilight Zone: The Movie;1983;29500000;287;1732;1954;3;0;6.5;10000000
A Low Down Dirty Shame;1994;29392418;322;1928;3190;5;2;5.8;10000000
Bless the Child;2000;29374178;55;4235;4565;6;0;5.1;40000000
Confessions of a Teenage Drama Queen;2004;29302097;10;1678;2167;3;8;4.6;15000000
Spice World;1997;29247405;14;1600;2176;3;1;3.3;25000000
The Rose;1979;29200000;43;921;1097;2;0;6.9;8500000
Priest;2011;29136626;124;1383;1417;2;0;5.7;60000000
The Mechanic;2011;29113588;165;27306;27834;9;0;6.6;40000000
The Object of My Affection;1998;29106737;13;1435;1450;2;0;6;15000000
Rent;2005;29077547;0;4715;5917;6;1;7;40000000
The Stepfather;2009;29062561;29;1774;3292;4;0;5.6;24000000
Nanny McPhee Returns;2010;28995450;24;629;855;1;5;6.1;35000000
The New Guy;2002;28972187;13;11790;12687;7;1;5.9;13000000
The Insider;1999;28965197;0;15506;18216;8;1;7.9;68000000
The Watcher;2000;28927720;10;18401;18688;8;0;5.3;33000000
Nerve;2016;28876924;24;1461;1780;3;0;7.1;20000000
One Direction: This Is Us;2013;28873374;293;2054;2787;4;11;4.1;10000000
Girl Interrupted;1999;28871190;446;12898;13433;7;0;7.3;24000000
Zoolander 2;2016;28837115;0;23000;24107;9;4;4.8;50000000
Draft Day;2014;28831145;425;3614;3757;6;1;6.8;25000000
Point Break;2015;28772222;19;2745;3962;5;1;5.3;105000000
Point Break;2015;28772222;19;2745;3962;5;1;5.3;105000000
Kick-Ass 2;2013;28751715;65;18332;19168;8;0;6.6;28000000
Capote;2005;28747570;152;22095;22140;9;1;7.4;7000000
Baby Boy;2001;28734552;309;2342;3107;5;2;6.4;16000000
Untraceable;2008;28687835;40;3046;3612;5;1;6.2;35000000
The Five-Year Engagement;2012;28644770;89;2773;3479;5;2;6.2;30000000
28 Weeks Later;2007;28637507;35;11306;11471;7;1;7;15000000
Swimfan;2002;28563926;21;2568;3819;5;0;5;8500000
We Own the Night;2007;28563179;115;3424;3681;5;4;6.9;21000000
The Out-of-Towners;1999;28535768;39;1139;1335;2;2;5.3;40000000
Brothers;2009;28501651;260;38000;42473;10;0;7.1;26000000
Brothers;2009;28501651;260;36000;39473;10;0;7.1;26000000
Child's Play 2;1990;28501605;5;1722;2646;4;0;5.7;13000000
Employee of the Month;2006;28435406;27;2343;4441;5;2;5.5;12000000
Garfield 2;2006;28424210;25;14265;14918;8;0;5;13000000
The Crocodile Hunter: Collision Course;2002;28399192;0;949;1483;2;0;5.4;13000000
The Shawshank Redemption;1994;28341469;0;12206;13495;7;0;9.3;25000000
After the Sunset;2004;28328132;420;7455;9814;7;2;6.3;58000000
The Prince and Me;2004;28165882;57;1968;3239;4;1;5.9;8200000
The Ant Bully;2006;28133159;8;31000;33822;10;1;5.9;50000000
Abduction;2011;28064226;309;463;561;1;1;5;35000000
Zathura: A Space Adventure;2005;28045540;4000;31539;32232;10;0;6.1;65000000
Doom;2005;28031250;43;13037;13517;7;0;5.2;60000000
Grosse Pointe Blank;1997;28014536;5;1856;2044;3;1;7.4;15000000
Loaded Weapon 1;1993;27979400;0;12034;12322;7;2;6.1;8200000
Johnny English;2003;27972410;29;983;1461;2;1;6.1;35000000
Friday;1995;27900000;473;2173;3455;5;1;7.3;3500000
Menace II Society;1993;27900000;117;1989;3036;4;2;7.5;3500000
Beastly;2011;27854896;33;16559;17396;8;1;5.6;17000000
Crank;2006;27829874;83;27226;28767;9;1;7;12000000
The Majestic;2001;27796042;0;2511;4310;5;1;6.9;72000000
The Edge;1997;27779888;93;13904;14831;8;2;6.9;65000000
The Switch;2010;27758465;8;1103;1292;2;2;6.1;19000000
Sinister 2;2015;27736779;11;1632;2403;3;0;5.2;10000000
Oculus;2013;27689474;59;1581;2071;3;0;6.5;5000000
Saw VI;2009;27669413;52;2021;3101;4;0;6;11000000
Hannibal Rising;2007;27667947;73;1226;1344;2;0;6.2;50000000
The Island of Dr. Moreau;1996;27663982;287;10412;10469;7;2;4.4;40000000
The Finest Hours;2016;27550735;44;1881;3524;5;0;6.8;23000000
Do the Right Thing;1989;27545445;0;1822;2892;4;2;7.9;6500000
Poetic Justice;1993;27515786;309;1427;1620;3;0;5.9;14000000
The Brothers;2001;27457409;10;4263;6419;6;4;6.3;6000000
Love & Basketball;2000;27441122;107;2751;5135;6;0;7.2;15000000
Dune;1984;27400000;0;1477;2449;3;3;6.6;40000000
Brown Sugar;2002;27362712;44;2344;3199;5;1;6.5;8000000
The Last Witch Hunter;2015;27356090;42;15400;16922;8;0;6;90000000
Someone Like You...;2001;27338033;956;20650;20798;9;3;6.1;23000000
Dallas Buyers Club;2013;27296514;212;14896;17738;8;0;8;5000000
No Escape;2015;27285953;66;246;259;1;0;6.8;5000000
The Muppet Christmas Carol;1992;27281507;53;405;534;1;0;7.7;12000000
High Fidelity;2000;27277055;350;2579;3141;5;0;7.6;20000000
The Bridge on the River Kwai;1957;27200000;767;888;1035;2;2;8.2;3000000
Brooklyn's Finest;2009;27154426;847;4585;6317;6;1;6.7;17000000
Baby Geniuses;1999;27141959;84;2523;2936;5;2;2.5;18000000
Cloud Atlas;2012;27098580;670;21000;22686;9;5;7.5;102000000
Joe Dirt;2001;27087695;29;1913;2543;4;0;5.9;17700000
The Story of Us;1999;27067160;0;13882;14706;8;1;5.9;50000000
The Musketeer;2001;27053815;0;2222;2888;4;0;4.7;40000000
The Big Hit;1998;27052167;6;1834;3353;4;5;6.1;13000000
Blade Runner;1982;27000000;0;12280;13877;7;2;8.2;28000000
Spy Hard;1996;26906039;8;1641;2653;4;2;5.3;18000000
Rush;2013;26903709;2000;36471;37206;10;0;8.1;38000000
The Women;2008;26896744;15;2181;3485;5;4;4.9;16500000
One Missed Call;2008;26876529;2;1308;1834;3;1;3.9;27000000
Stick It;2006;26870825;31;13537;14903;8;3;6.4;1800000
Elizabethtown;2005;26838389;488;11000;12700;7;0;6.4;57000000
Glory;1989;26830000;380;31000;32930;10;3;7.9;18000000
Glory;1989;26830000;380;31000;32930;10;3;7.9;18000000
The Other Boleyn Girl;2008;26814957;56;58000;77823;10;3;6.7;35000000
Garden State;2004;26781723;0;1298;1655;2;3;7.6;2500000
The Best of Me;2014;26761283;97;1735;3197;4;0;6.7;26000000
Winnie the Pooh;2011;26687172;15;901;1002;2;0;7.3;30000000
The Host;2013;26616999;487;960;1300;2;3;5.9;40000000
Event Horizon;1997;26616590;545;1859;2525;4;0;6.7;60000000
Machete;2010;26589953;20;23826;26233;9;1;6.7;10500000
The Forest;2016;26583369;4;572;578;1;1;4.8;10000000
Harriet the Spy;1996;26539321;15;1640;2486;3;1;5.9;13000000
Basic;2003;26536120;323;2075;3357;5;0;6.5;50000000
Bulworth;1998;26525834;631;925;1023;2;1;6.8;30000000
A Nightmare on Elm Street;1984;26505000;0;41426;42918;10;1;7.5;1800000
A Nightmare on Elm Street;1984;26505000;0;41426;42918;10;1;7.5;1800000
Blast from the Past;1999;26494611;37;4354;5709;6;0;6.6;35000000
Run All Night;2015;26442251;174;15643;16992;8;2;6.6;50000000
Book of Shadows: Blair Witch 2;2000;26421314;31;539;608;1;0;4;15000000
Street Kings;2008;26415649;453;31000;33878;10;4;6.8;20000000
One for the Money;2012;26404753;30;2205;3301;5;1;5.3;40000000
Conan the Destroyer;1984;26400000;130;1573;2481;3;1;5.8;18000000
A Passage to India;1984;26400000;767;743;1334;2;0;7.4;16000000
Boogie Nights;1997;26384919;0;3530;3677;5;15;7.9;15000000
Sinbad: Legend of the Seven Seas;2003;26288320;0;11184;11301;7;0;6.7;60000000
Love the Coopers;2015;26284475;24;10651;10691;7;13;5.7;17000000
The Wrestler;2008;26236603;0;1365;1582;2;0;7.9;6000000
Blood Work;2002;26199517;16000;17581;18635;9;1;6.4;50000000
A Man Apart;2003;26183197;473;15501;16611;8;0;6.1;36000000
Ramona and Beezus;2010;26161406;20;953;1002;2;2;6.7;15000000
Dumb and Dumberer: When Harry Met Lloyd;2003;26096584;14;1112;1653;2;0;3.4;19000000
xXx: State of the Union;2005;26082914;93;738;993;1;2;4.3;87000000
That Awkward Moment;2014;26049082;19;822;1024;2;3;6.1;8000000
The Descent;2005;26005908;197;911;1379;2;0;7.2;3500000
The World's End;2013;26003149;1000;256;278;1;6;7;20000000
The Adventures of Rocky & Bullwinkle;2000;26000610;5;23924;28050;9;0;4.1;76000000
A Walk Among the Tombstones;2014;25977365;71;14752;15428;8;0;6.5;28000000
Howards End;1992;25967000;133;13034;13180;7;3;7.5;6000000
Shutter;2008;25926543;5;1078;1534;2;1;5.2;8000000
The Cotton Club;1984;25900000;0;17886;18793;8;1;6.5;58000000
Superhero Movie;2008;25871834;82;2060;3266;5;6;4.5;35000000
Alex Cross;2012;25863915;357;1726;2471;4;0;5.1;35000000
�on Flux;2005;25857987;45;9812;10185;7;0;5.5;62000000
Shadowlands;1993;25842000;0;13266;13619;7;0;7.4;22000000
That Thing You Do!;1996;25809813;15000;24982;28713;10;6;6.9;26000000
The Lazarus Effect;2015;25799043;26;11631;11771;7;0;5.2;3300000
Frida;2002;25776062;278;5898;7072;6;0;7.4;12000000
From Dusk Till Dawn;1996;25753840;0;20844;23296;9;2;7.3;19000000
You Again;2010;25677801;99;3456;4813;6;6;5.8;20000000
21 & Over;2013;25675765;24;1579;2730;4;0;5.9;13000000
Desperado;1995;25625110;0;32000;33758;10;0;7.2;7000000
Dance Flick;2009;25615792;82;2040;4378;5;0;3.5;25000000
The Outsiders;1983;25600000;0;11618;12097;7;0;7.2;10000000
The Mist;2007;25592632;0;3595;5371;6;0;7.2;18000000
Crocodile Dundee in Los Angeles;2001;25590119;23;1064;1315;2;0;4.8;21150000
Nancy Drew;2007;25584685;26;2039;3327;5;5;5.9;20000000
Jonah: A VeggieTales Movie;2002;25571351;12;43;49;1;0;6.6;14000000
Her;2013;25556065;0;19233;19359;8;1;8;23000000
Memento;2000;25530884;22000;1746;1997;7;0;8.5;9000000
Captain Corelli's Mandolin;2001;25528495;108;23301;23325;9;2;5.9;57000000
W.;2008;25517500;0;3481;4264;6;1;6.4;25100000
All About the Benjamins;2002;25482931;10;1083;1421;2;2;5.7;14000000
Dark Water;2005;25472967;179;1210;1467;2;2;5.6;30000000
The Fourth Kind;2009;25464480;58;14779;15251;8;0;5.9;10000000
The International;2009;25450527;670;6744;7654;7;0;6.5;50000000
Ex Machina;2015;25440971;232;417;430;1;0;7.7;15000000
Escape from L.A.;1996;25407250;0;13662;15935;8;0;5.7;50000000
Boyhood;2014;25359200;0;550;673;1;0;8;4000000
Can't Hardly Wait;1998;25339117;4;2605;4259;5;4;6.5;10000000
Serenity;2005;25335935;0;2784;2853;5;0;8;40000000
The Transporter;2002;25296447;255;27447;27572;9;0;6.8;21000000
Top Five;2014;25277561;0;4521;5592;6;10;6.5;12000000
Jersey Girl;2004;25266129;0;2562;3592;5;5;6.2;35000000
Escape from New York;1981;25244700;0;1725;2270;3;1;7.2;6000000
Katy Perry: Part of Me;2012;25240988;4;45;52;1;0;5.9;12000000
Aliens in the Attic;2009;25200412;13;2254;3423;5;3;5.4;45000000
Sweet November;2001;25178165;7;27903;29484;9;1;6.7;40000000
Nurse Betty;2000;25167270;119;11857;12254;7;4;6.3;24000000
The Witch;2015;25138292;22;998;1122;2;0;6.8;3500000
Escape Plan;2013;25121291;101;14585;15708;8;1;6.7;50000000
The Reaping;2007;25117498;81;715;960;1;0;5.7;40000000
Killer Elite;2011;25093607;5;48748;49608;10;2;6.5;35000000
Midnight in the Garden of Good and Evil;1997;25078937;16000;18690;19689;9;2;6.6;30000000
Alpha and Omega;2010;25077977;0;1810;2486;4;0;5.3;20000000
Wyatt Earp;1994;25052000;759;3737;5708;6;0;6.6;63000000
The Wood;1999;25047631;44;1598;2724;4;0;6.9;6000000
The Forbidden Kingdom;2008;25040293;50;6909;7247;7;0;6.6;55000000
Grindhouse;2007;25031037;0;20000;22186;9;0;7.6;53000000
Piranha 3D;2010;25003072;192;4706;5737;6;0;5.5;24000000
Logan's Run;1976;25000000;23;2099;2951;4;1;6.8;9000000
Some Like It Hot;1959;25000000;0;310;527;1;2;8.3;2883848
In the Heart of the Sea;2015;24985612;2000;27482;28328;9;0;7;100000000
The November Man;2014;24984868;79;1926;3033;4;2;6.3;15000000
Kingpin;1996;24944213;101;14595;16937;8;2;6.9;27000000
The Craft;1996;24881000;26;1432;1812;3;0;6.2;15000000
Never Back Down;2008;24848292;65;3576;4089;6;1;6.6;20000000
Our Idiot Brother;2011;24809547;37;15000;15710;8;1;6.4;5000000
From Russia with Love;1963;24800000;92;937;1456;2;0;7.5;2000000
Thank You for Smoking;2005;24792061;655;24917;25092;9;0;7.6;6500000
Waking Ned Devine;1998;24788807;52;1843;1965;3;0;7.4;3000000
Sex Lies and Videotape;1989;24741700;0;1424;1431;2;2;7.2;1200000
Lottery Ticket;2010;24708699;17;2656;4797;6;7;4.9;40000000
Air Bud;1997;24629916;188;3663;4277;6;0;5.1;3000000
Sicko;2007;24530513;909;1296;1633;3;1;8;9000000
Unleashed;2005;24520892;255;21000;22383;9;1;7;45000000
Sling Blade;1996;24475416;0;3587;3967;6;0;8;890000
Don Jon;2013;24475193;23000;42694;44265;10;1;6.6;3000000
The Sweetest Thing;2002;24430272;16;88;132;1;3;5.1;43000000
Elektra;2005;24407944;38;5000;7048;6;0;4.8;43000000
Sparkle;2012;24397469;70;2582;5804;6;7;5.7;17000000
Ice Princess;2005;24381334;3;207;235;1;2;6;5000000
15 Minutes;2001;24375436;17;31808;33585;10;1;6.1;42000000
Arlington Road;1999;24362501;89;12983;13576;7;1;7.2;21500000
Across the Universe;2007;24343673;278;5224;5405;6;0;7.4;45000000
Across the Universe;2007;24343673;278;5224;5405;6;0;7.4;45000000
Renaissance Man;1994;24332324;545;1890;3126;5;1;6.1;40000000
Hoffa;1992;24276500;0;909;1394;2;2;6.6;35000000
The Spy Next Door;2010;24268828;32;2079;3436;5;4;5.4;28000000
Hearts in Atlantis;2001;24185781;96;12937;13811;7;1;6.9;31000000
Clerks II;2006;24138847;0;2555;2990;5;3;7.4;5000000
Lord of War;2005;24127895;487;12059;12076;7;2;7.6;50000000
Tinker Tailor Soldier Spy;2011;24104113;140;43000;46241;10;1;7.1;20000000
The Adventures of Huck Finn;1993;24103594;208;2392;4840;6;0;6.2;6500000
Virtuosity;1995;24048000;32;19373;20772;9;1;5.5;30000000
Angel Eyes;2001;24044532;43;873;1440;2;0;5.6;38000000
Don't Be Afraid of the Dark;2010;24042490;24;3596;3744;5;1;5.6;25000000
The Life Aquatic with Steve Zissou;2004;24006726;0;14639;15757;8;8;7.3;50000000
Around the World in 80 Days;2004;24004159;153;2447;3175;5;0;5.8;110000000
Around the World in 80 Days;2004;24004159;153;2447;3175;5;0;5.8;110000000
Observe and Report;2009;23993605;62;707;727;1;1;5.8;18000000
Corky Romano;2001;23978402;5;1696;3850;5;1;4.6;11000000
An Inconvenient Truth;2006;23808111;49;929;929;2;0;7.5;5000000
The Best Years of Our Lives;1946;23650000;355;1145;1941;3;5;8.1;2100000
Hot Fuzz;2007;23618786;1000;398;485;2;1;7.9;8000000
The Losers;2010;23527955;41;12292;12841;7;1;6.4;25000000
Hotel Rwanda;2004;23472900;83;3702;4142;6;1;8.1;17500000
Endless Love;2014;23393765;19;16931;18760;8;0;6.3;20000000
Reindeer Games;2000;23360779;287;10475;10838;7;0;5.7;34000000
From Paris with Love;2010;23324666;180;421;488;1;1;6.5;52000000
The Covenant;2006;23292105;212;2514;3261;5;0;5.3;20000000
The Usual Suspects;1995;23272306;0;19553;20821;9;4;8.6;6000000
Faster;2010;23225911;88;13560;14699;8;1;6.5;24000000
Agent Cody Banks 2: Destination London;2004;23222861;8;2522;3742;5;4;4.5;26000000
Pompeii;2014;23219748;545;1041;1099;2;0;5.6;80000000
Vicky Cristina Barcelona;2008;23213577;11000;19833;19894;9;0;7.2;15500000
One True Thing;1998;23209440;73;12315;12785;7;3;7;30000000
Monte Carlo;2011;23179303;15;4125;4257;6;3;5.8;20000000
The Iron Giant;1999;23159305;663;15152;16358;8;1;8;70000000
Match Point;2005;23089926;11000;19967;20391;9;3;7.7;15000000
Stay Alive;2006;23078294;19;2740;3590;5;0;5.1;9000000
Sanctum;2011;23070045;24;3595;3892;6;0;5.9;30000000
The Players Club;1998;23031390;0;2095;2868;4;9;5.6;4500000
Bulletproof Monk;2003;23020488;13;1995;2422;4;3;5.5;52000000
Transcendence;2014;23014504;0;51968;54031;10;1;6.3;100000000
The Remains of the Day;1993;22954968;133;12568;12749;7;1;7.9;11500000
Love Happens;2009;22927390;7;3807;4947;6;0;5.6;18000000
Ella Enchanted;2004;22913677;13;12973;17292;8;1;6.3;35000000
Rounders;1998;22905674;131;14539;14890;8;2;7.4;12000000
Revolutionary Road;2008;22877808;0;53000;53895;10;0;7.3;35000000
Being John Malkovich;1999;22858926;0;941;1171;2;2;7.8;13000000
Beloved;1998;22843047;438;1955;2397;4;1;5.9;55000000
On Her Majesty's Secret Service;1969;22800000;13;1361;1769;3;2;6.8;7000000
Joe Somebody;2001;22770864;11;1863;2765;4;1;5.5;38000000
The Gallows;2015;22757819;3;267;276;1;0;4.2;100000
Titan A.E.;2000;22751979;383;14886;15857;8;0;6.6;75000000
Dickie Roberts: Former Child Star;2003;22734486;39;1538;2713;4;1;5.6;17000000
The Magic Sword: Quest for Camelot;1998;22717758;7;11703;14275;7;0;6.2;40000000
Much Ado About Nothing;1993;22551000;0;36591;37645;10;0;7.4;8000000
Babylon A.D.;2008;22531698;326;15354;15990;8;0;5.6;70000000
My Super Ex-Girlfriend;2006;22526144;425;2309;2737;5;1;5.1;30000000
The Incredible Burt Wonderstone;2013;22525921;35;29000;32094;10;4;5.9;30000000
The Black Dahlia;2006;22518325;0;20826;22833;9;0;5.6;50000000
Lucky Number Slevin;2006;22494487;118;25000;26451;9;3;7.8;27000000
Lucky Number Slevin;2006;22494487;118;25000;26451;9;3;7.8;27000000
War;2007;22466994;5;31874;33565;10;0;6.3;25000000
Fame;2009;22452209;64;2165;5734;6;0;5;18000000
Magnolia;1999;22450975;0;1683;1906;3;1;8;37000000
City by the Sea;2002;22433915;105;33616;34377;10;1;6.2;60000000
The Alamo;2004;22406362;102;3850;5780;6;0;6;107000000
The Alamo;2004;22406362;102;3850;5780;6;0;6;107000000
Edtv;1999;22362500;2000;13000;15275;8;0;6.1;55000000
The Borrowers;1997;22359293;12;1782;2056;3;0;5.8;29000000
Project Almanac;2015;22331028;16;1045;1819;2;0;6.4;12000000
At First Sight;1999;22326247;34;2549;3821;5;1;5.9;60000000
My Fellow Americans;1996;22294341;88;2590;4629;5;3;6.5;21500000
Deuce Bigalow: European Gigolo;2005;22264487;2;1217;1729;2;0;4.6;22000000
Adaptation.;2002;22245861;0;23836;25489;9;0;7.7;19000000
Two Can Play That Game;2001;22235901;7;2234;2815;4;2;6.1;6000000
The Wizard of Oz;1939;22202612;149;1473;2509;3;3;8.1;2800000
Hustle & Flow;2005;22201636;153;687;727;1;1;7.4;8000000
Don Juan DeMarco;1994;22200000;19;50977;52122;10;3;6.8;25000000
Nowhere to Run;1993;22189039;11;1837;2210;3;0;5.5;15000000
A Nightmare on Elm Street 5: The Dream Child;1989;22168359;81;514;584;1;0;5.1;8000000
Darkness;2002;22160085;57;1124;1228;2;0;5.4;10600000
The Medallion;2003;22108977;4;1095;1134;2;1;5.2;41000000
Billy Elliot;2000;21994911;335;1075;1122;2;0;7.7;5000000
Joy Ride;2001;21973182;131;23143;23242;9;2;6.6;23000000
A Lot Like Love;2005;21835784;13;955;1095;2;3;6.6;30000000
Mr 3000;2004;21800302;30;2597;4462;5;1;5.5;30000000
The Big Wedding;2013;21784432;16;73000;74181;10;8;5.6;35000000
Mud;2012;21589307;337;12820;13960;7;1;7.4;10000000
Black or White;2014;21569041;57;2501;3745;5;2;6.6;9000000
Baggage Claim;2013;21564616;68;5000;8097;6;9;5;8500000
Your Highness;2011;21557240;234;42000;45202;10;3;5.6;49900000
He Got Game;1998;21554585;0;35000;37315;10;0;6.9;25000000
Just Wright;2010;21520719;43;2510;3906;5;1;5.8;8000000
The Way Way Back;2013;21501098;214;7892;8375;7;1;7.4;5000000
The Right Stuff;1983;21500000;133;3646;6341;6;0;7.9;27000000
The Book Thief;2013;21483154;33;1728;1985;3;1;7.6;19000000
Battlefield Earth;2000;21471685;64;901;971;2;0;2.4;44000000
Urban Legends: Final Cut;2000;21468807;83;2277;2682;4;2;4.1;14000000
The Darkest Hour;2011;21426805;21;812;843;1;0;4.9;30000000
The Adventures of Ford Fairlane;1990;21413502;212;1819;2795;4;5;6.3;40000000
Quigley Down Under;1990;21413105;23;44748;45841;10;1;6.8;20000000
The Place Beyond the Pines;2012;21383298;310;34367;34413;10;3;7.3;15000000
Mars Needs Moms;2011;21379315;25;1916;2652;4;0;5.4;150000000
The Fog;1980;21378000;0;3432;4878;6;0;6.8;1000000
The Fog;1980;21378000;0;3432;4877;6;0;6.8;1000000
Skyline;2010;21371425;25;2717;3679;5;0;4.4;10000000
Raising Cain;1992;21370057;0;1264;1852;3;0;6;12000000
Friday the 13th: A New Beginning;1985;21300000;13;86;170;1;0;4.7;2200000
Dream House;2011;21283440;260;7386;8018;7;0;6;55000000
Bowling for Columbine;2002;21244913;909;1597;1779;4;2;8;4000000
To Die For;1995;21200000;835;2425;3598;5;0;6.8;20000000
As Above So Below;2014;21197315;66;1361;1410;2;0;6.1;5000000
Torque;2004;21176322;33;3000;5039;6;0;4;40000000
ATL;2006;21160089;49;1287;1538;2;0;6;
Stir of Echoes;1999;21133087;192;930;1254;2;0;7;12000000
The Next Three Days;2010;21129348;549;11139;11799;7;0;7.4;35000000
Tales from the Crypt: Demon Knight;1995;21088568;226;2431;3931;5;1;6.7;13000000
Antwone Fisher;2002;21078145;18000;19181;20456;9;0;7.3;12500000
Flight of the Phoenix;2004;21009180;212;3413;4397;6;4;6.1;45000000
Van Wilder: Party Liaison;2002;21005329;12;17459;19341;8;0;6.4;6000000
The Man with the Golden Gun;1974;21000000;82;16631;17611;8;3;6.8;13000000
Fantastic Mr. Fox;2009;20999103;0;24563;24770;9;0;7.8;40000000
Flicka;2006;20998709;15;2247;3845;5;0;6.2;15000000
Aloha;2015;20991497;488;42000;44037;10;1;5.4;37000000
Aloha;2015;20991497;488;42000;44037;10;1;5.4;37000000
The X Files: I Want to Believe;2008;20981633;251;1838;2351;4;0;5.9;30000000
A Room with a View;1985;20966644;133;1379;1665;3;0;7.4;3000000
Looney Tunes: Back in Action;2003;20950820;287;4434;5593;6;4;5.7;80000000
Shorts;2009;20916309;0;88040;88422;10;4;4.9;40000000
Super Mario Bros.;1993;20915465;5;6609;7723;7;0;4;42000000
Paul Blart: Mall Cop;2009;20819129;41;1297;2954;4;1;5.2;26000000
The Kids Are All Right;2010;20803237;450;17712;18645;8;1;7.1;3500000
The Hills Have Eyes II;2007;20801344;7;1875;2559;4;0;5.1;15000000
God's Not Dead 2;2016;20773070;18;1349;1810;3;11;3.4;5000000
Whale Rider;2002;20772796;51;474;497;1;1;7.6;6000000
Jaws: The Revenge;1987;20763013;114;1881;2355;4;0;2.8;23000000
The Apostle;1997;20733485;3000;412;428;3;1;7.2;5000000
Mad Money;2008;20668843;144;2104;2453;4;3;5.8;22000000
Boys and Girls;2000;20627372;7;3335;3451;5;3;5.3;16000000
Keanu;2016;20566327;10;1863;2958;4;2;6.4;15000000
Chain Reaction;1996;20550712;99;29581;31014;10;1;5.6;50000000
Gamer;2009;20488579;83;27000;29926;9;1;5.8;50000000
Land of the Dead;2005;20433940;0;1416;1876;3;8;6.2;15000000
Little Black Book;2004;20422207;34;2323;4369;5;1;5.2;35000000
The Glimmer Man;1996;20400913;29;2783;3855;5;1;5.3;45000000
Duel in the Sun;1946;20400000;54;1237;2037;3;0;6.9;8000000
Free State of Jones;2016;20389967;378;11855;12786;7;1;6.7;50000000
Valentine;2001;20384136;9;1671;2402;3;1;4.7;10000000
Reno 911!: Miami;2007;20339754;134;1613;2737;4;2;5.9;10000000
A Prairie Home Companion;2006;20338609;500;12630;12946;7;8;6.8;10000000
The Three Musketeers;2011;20315324;545;27000;27694;9;8;5.8;75000000
